"ALP10,ALASAAD,,218,SYP,""1,735,766.00"",""322,830.00"",""829,187.00"",0,""2,887,783.00"",0,""2,887,783.00"",Detail",report_from_date,report_to_date
"DXB11,PACK & GO TRAVEL TOURISM LLC,,DXB0002,USD,0,0,0,0,0,0,0,Detail",,
"DXB12,TRANSTOUR,,DXB0003,AED,""18,517.00"",""5,369.00"",""20,342.00"",0,""44,228.00"",0,""44,228.00"",Detail",,
"DXB12,TRANSTOUR,,DXB0003,USD,0,0,0,0,0,0,0,Detail",,
"DXB13,FLYIN,,DXB0004,AED,""28,111.00"",""12,961.00"",""46,832.00"",0,""87,904.00"",0,""87,904.00"",Detail",,
"DXB13,FLYIN,,DXB0004,USD,0,0,0,0,0,0,0,Detail",,
"DXB15,NARJIS,,DXB00010,AED,""3,652.00"",419,""1,650.00"",0,""5,721.00"",0,""5,721.00"",Detail",,
"DXB15,NARJIS,,DXB00010,USD,0,0,0,0,0,0,0,Detail",,
"DXB16,AYAVA,,DXB00011,AED,""1,561.00"",804,""2,584.00"",0,""4,949.00"",0,""4,949.00"",Detail",,
"DXB18,ALTAHADI DXB,,DXB00013,AED,685,137,439,0,""1,261.00"",0,""1,261.00"",Detail",,
"DXB20,ELAF,,DXB00015,AED,""40,330.00"",""24,567.00"",""98,267.00"",0,""173,695.00"",""11,191.00"",""162,504.00"",Detail",,
"DXB20,ELAF,,DXB00015,USD,0,0,0,0,0,0,0,Detail",,
"DXB22,ALAGHARDXB,,DXB00017,AED,""11,184.00"",""2,144.00"",""7,145.00"",0,""20,473.00"",0,""20,473.00"",Detail",,
"DXB22,ALAGHARDXB,,DXB00017,USD,0,0,0,0,0,0,0,Detail",,
"DXB23,PALMYRADXB,,DXB00018,AED,""-3,248.00"",-183,-445,0,""2,892.00"",""6,768.00"",""-3,876.00"",Detail",,
"DXB23,PALMYRADXB,,DXB00018,USD,0,0,0,0,0,0,0,Detail",,
"DXB25,TOMEH,,DXB00020,AED,""5,307.00"",""3,168.00"",""11,155.00"",0,""19,630.00"",0,""19,630.00"",Detail",,
"DXB26,GRANADA GATE,,DXB00021,AED,""11,378.00"",""7,352.00"",""27,038.00"",0,""47,167.00"",""1,399.00"",""45,768.00"",Detail",,
"DXB26,GRANADA GATE,,DXB00021,USD,0,0,0,0,0,0,0,Detail",,
"DXB27,LAZURDE,,DXB00022,AED,""4,086.00"",""2,868.00"",""10,480.00"",0,""24,143.00"",""8,359.00"",""15,784.00"",Detail",,
"DXB27,LAZURDE,,DXB00022,USD,0,0,0,0,0,0,0,Detail",,
"DXB32,Dubai link tours,,DXB00027,AED,74,137,439,0,650,0,650,Detail",,
"DXB33,WL T TRAVEL AND TOURISM,,DXB00028,AED,""62,328.00"",""31,078.00"",""110,629.00"",0,""206,482.00"",""3,034.00"",""203,448.00"",Detail",,
"DXB33,WL T TRAVEL AND TOURISM,,DXB00028,USD,0,0,0,0,0,0,0,Detail",,
"DXB36,DAMA SKY TOURISM,,DXB00032,AED,""8,538.00"",""2,783.00"",""10,059.00"",0,""22,376.00"",996,""21,380.00"",Detail",,
"DXB36,DAMA SKY TOURISM,,DXB00032,USD,0,0,0,0,0,0,0,Detail",,
"DXB37,WAHET ALALMAS TRAVEL AGENCY,,dxb00033,AED,366,366,""1,318.00"",0,""2,050.00"",0,""2,050.00"",Detail",,
"DXB39,TAJ ALSHAM FOR TOURISM LLC DXB,,35,AED,""6,294.00"",""1,429.00"",""5,880.00"",0,""13,840.00"",237,""13,603.00"",Detail",,
"DXB39,TAJ ALSHAM FOR TOURISM LLC DXB,,35,USD,0,0,0,0,0,0,0,Detail",,
"DXB40,JABOR TRAVEL AND TOURISM LLC,,DXB 00036,AED,""11,106.00"",""4,506.00"",""16,042.00"",0,""32,635.00"",981,""31,654.00"",Detail",,
"DXB40,JABOR TRAVEL AND TOURISM LLC,,DXB 00036,USD,0,0,0,0,0,0,0,Detail",,
"DXB43,RAMAT TRAVEL AND TOURISM DXB,,dxb00038,AED,""20,830.00"",""7,049.00"",""26,651.00"",0,""59,818.00"",""5,618.00"",""54,200.00"",Detail",,
"DXB43,RAMAT TRAVEL AND TOURISM DXB,,dxb00038,USD,0,0,0,0,0,0,0,Detail",,
"DXB44,AL ZAMEL TRAVEL & TOURISM,,dxb00039,AED,""1,846.00"",""1,476.00"",""6,436.00"",0,""15,440.00"",""5,682.00"",""9,758.00"",Detail",,
"DXB46,DAR AL ZAIN TRAVEL AND TOURISM,,dxb00041,AED,148,274,878,0,""1,300.00"",0,""1,300.00"",Detail",,
"DXB47,SHARIF HOUSE LLC- FZ,,DXB0042,AED,74,137,439,0,650,0,650,Detail",,
