Agent Code,Agent Name,Station Code,Station Name,Country,Territory,Invoice Number,"Fare
","Tax

","Modify

",Surcharge,Invoice Total,Unnamed: 12,Unnamed: 13,Emails Sent,Detail,report_year,report_month
DXB70,ALASAL TOURISM & TRAVEL LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000041.0,"4,902.45","1,619.75",33.65,"5,648.34",12204.19,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
GSA19,ISTEHKAK FOR TOURISM SERVICES,MJI,Trablous,Libya,MJI,250801000017.0,"10,660.60",140.70,0.00,"3,000.00",13801.3,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
QHM3,ALSHAMALI,QHM,SY-HAMA,Syria,DMS,250801000133.0,"5,230.81","1,308.39",0.00,"3,330.00",9869.2,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB58,PHOENIQ TRAVEL AGENCY LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000102.0,"3,761.31",983.52,40.88,"3,840.00",8625.71,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM69,ORFALI,DAM,SY-DAMASCUS,Syria,DMS,250801000005.0,"1,235.46",373.60,274.81,"1,140.00",3023.87,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM200,jabri usd,DAM,SY-DAMASCUS,Syria,DMS,250801000151.0,"5,020.91","1,412.97",50.00,"4,275.00",10758.88,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB62,SWEN TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000062.0,"1,935.59",570.14,0.00,"2,160.00",4665.73,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM190,syria link usd,DAM,SY-DAMASCUS,Syria,DMS,250801000072.0,"22,095.14","5,680.96",150.00,"16,635.00",44561.1,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DXB71,SURIANA TOURS & TRAVEL LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000145.0,"2,266.39","1,497.67",27.25,"5,760.00",9551.31,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
IST11,art of travel,IST,tr-istanbul,Turkey,IST,250801000126.0,"22,823.30","4,533.78",360.00,"13,425.00",41142.08,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
DAM114,BLUE SUN,DAM,SY-DAMASCUS,Syria,DMS,250801000182.0,-184.00,-31.51,0.00,-120.00,-335.51,,,0.0,Detail,"2025,,,,,,,,,,,,,,,","08,,,,,,,,,,,,,,,"
