Flight Date,Flight No,Segment,COS,Seats Allocate,Over sell,Curtailed,Seats Sold,On Hold,Fixed,Seats Available,Fare Collection(USD),Seat Factor,Sur Charge,Flight Status,Baggage ,Sold Seats ,Ava.Seats 
8/20/2025,RB443,DAM/IST,Y,141,0,0,126,0,0,15,"12,504.65",89%,0,ACT,0,126,15
8/20/2025,RB522,DOH/DAM,C,12,0,0,4,0,0,8,"1,124.40",33%,0,ACT,0,4,8
8/20/2025,RB522,DOH/DAM,Y,148,0,0,76,0,0,72,"10,077.53",51%,0,ACT,0,76,72
8/20/2025,RB444,IST/DAM,C,12,0,0,2,0,0,10,581.75,17%,0,ACT,0,2,10
8/20/2025,RB444,IST/DAM,Y,141,0,0,93,0,0,48,"10,641.90",66%,0,ACT,0,93,48
8/20/2025,RB502,SHJ/DAM,C,12,0,0,1,0,0,11,471.42,8%,0,ACT,0,1,11
8/20/2025,RB502,SHJ/DAM,Y,145,0,0,27,0,0,118,987.23,19%,0,ACT,0,27,118
8/21/2025,RB505,DAM/SHJ,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/21/2025,RB505,DAM/SHJ,Y,145,0,0,132,0,0,13,"16,760.34",91%,0,ACT,0,132,13
8/21/2025,RB515,DAM/DXB,C,12,0,0,9,0,0,3,"2,839.38",75%,0,ACT,0,9,3
8/21/2025,RB515,DAM/DXB,Y,145,0,0,145,0,0,0,"20,502.36",100%,0,ACT,0,145,0
8/21/2025,RB527,DAM/DMM,C,12,0,0,11,0,0,1,"3,986.64",92%,0,ACT,0,11,1
8/21/2025,RB527,DAM/DMM,Y,148,0,0,148,0,0,0,"29,366.46",100%,0,ACT,0,148,0
8/21/2025,RB528,DMM/DAM,C,12,0,0,1,0,0,11,520,8%,0,ACT,0,1,11
8/21/2025,RB528,DMM/DAM,Y,148,0,0,45,0,0,103,"4,917.50",30%,0,ACT,0,45,103
8/21/2025,RB506,SHJ/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/21/2025,RB506,SHJ/DAM,Y,145,0,0,43,0,0,102,"2,078.67",30%,0,ACT,0,43,102
8/21/2025,RB516,DXB/DAM,C,12,0,0,0,0,0,12,0,0%,0,ACT,0,0,12
8/21/2025,RB516,DXB/DAM,Y,145,0,0,42,0,0,103,"2,717.29",29%,0,ACT,0,42,103
8/21/2025,RB381,DAM/JED,C,12,0,0,7,0,0,5,"2,131.77",58%,0,ACT,0,7,5
8/21/2025,RB381,DAM/JED,Y,148,0,0,148,0,0,0,"28,337.39",100%,0,ACT,0,148,0
8/21/2025,RB501,DAM/SHJ,C,12,0,0,12,0,0,0,"3,515.57",100%,0,ACT,0,12,0
8/21/2025,RB501,DAM/SHJ,Y,145,0,0,142,0,0,3,"22,158.68",98%,0,ACT,0,142,3
8/21/2025,RB341,DAM/KWI,C,12,0,0,11,0,0,1,"2,176.73",92%,0,ACT,0,11,1
8/21/2025,RB341,DAM/KWI,Y,141,0,0,140,0,0,1,"14,526.46",99%,0,ACT,0,140,1
8/21/2025,RB382,JED/DAM,C,12,0,0,2,0,0,10,498.14,17%,0,ACT,0,2,10
8/21/2025,RB382,JED/DAM,Y,148,0,0,16,0,0,132,"1,364.50",11%,0,ACT,0,16,132
8/21/2025,RB342,KWI/DAM,C,12,0,0,1,0,0,11,271.6,8%,0,ACT,0,1,11
8/21/2025,RB342,KWI/DAM,Y,141,0,0,95,0,0,46,"9,016.06",67%,0,ACT,0,95,46
