,,,,SEAT INVENTORY AND COLLECTIONS,,,,,,,,,,,,,
Report ID,: UC_REPM_015,,,,,,,,,,,,,,,,
From Date,: 25/10/2023,,,,,,,,,,Print Date :,21/09/2,,,,,
To Date,: 25/10/2025,,,,,,,,,,Print Time :,10:27:,Zulu,,,,
Flight Date,Flight No,Segment,COS,Seats Allocate,Over sell,Curtailed,Seats Sold,On Hold,Fixed,Seats Available,Fare Collection(USD),Seat Factor,Sur Charge,Flight Status,Baggage ,Sold Seats ,Ava.Seats 
11/04/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/04/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,141,0.00,0 %,0.00,ACT,0.00,0,144
11/04/2023,RB515,LTK/DXB,C,27,0,0,0,0,0,12,0.00,0 %,0.00,ACT,0.00,0,27
11/04/2023,RB515,LTK/DXB,Y,254,0,0,0,0,0,31,0.00,0 %,0.00,ACT,0.00,0,254
11/04/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/04/2023,RB202,CAI/DAM,Y,144,0,0,0,0,0,143,0.00,0 %,0.00,ACT,0.00,0,144
11/04/2023,RB521,LTK/DOH,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
11/04/2023,RB521,LTK/DOH,Y,144,0,0,0,0,0,33,0.00,0 %,0.00,ACT,0.00,0,144
11/04/2023,RB516,DXB/LTK,C,27,0,0,0,0,0,16,0.00,0 %,0.00,ACT,0.00,0,27
11/04/2023,RB516,DXB/LTK,Y,254,0,0,0,0,0,106,0.00,0 %,0.00,ACT,0.00,0,254
11/04/2023,RB522,DOH/LTK,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
11/04/2023,RB522,DOH/LTK,Y,144,0,0,0,0,0,74,0.00,0 %,0.00,ACT,0.00,0,144
11/04/2023,RB341,LTK/KWI,C,11,0,0,0,0,0,7,0.00,0 %,0.00,ACT,0.00,0,11
11/04/2023,RB341,LTK/KWI,Y,144,0,0,0,0,0,65,0.00,0 %,0.00,ACT,0.00,0,144
11/04/2023,RB342,KWI/LTK,C,11,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,11
11/04/2023,RB342,KWI/LTK,Y,144,0,0,0,0,0,91,0.00,0 %,0.00,ACT,0.00,0,144
11/05/2023,RB441,LTK/VKO,C,11,0,0,0,0,0,7,0.00,0 %,0.00,ACT,0.00,0,11
11/05/2023,RB441,LTK/VKO,Y,96,0,0,0,0,0,0,0.00,0 %,0.00,ACT,0.00,0,96
11/05/2023,RB501,LTK/SHJ,C,27,0,0,0,0,0,21,0.00,0 %,0.00,ACT,0.00,0,27
11/05/2023,RB501,LTK/SHJ,Y,254,0,0,0,0,0,23,0.00,0 %,0.00,ACT,0.00,0,254
11/05/2023,RB502,SHJ/LTK,C,27,0,0,0,0,0,26,0.00,0 %,0.00,ACT,0.00,0,27
11/05/2023,RB502,SHJ/LTK,Y,254,0,0,0,0,0,180,0.00,0 %,0.00,ACT,0.00,0,254
11/05/2023,RB442,VKO/LTK,C,11,0,0,0,0,0,6,0.00,0 %,0.00,ACT,0.00,0,11
11/05/2023,RB442,VKO/LTK,Y,114,0,0,0,0,0,64,0.00,0 %,0.00,ACT,0.00,0,114
11/06/2023,RB515,LTK/DXB,C,27,0,0,0,0,0,25,0.00,0 %,0.00,ACT,0.00,0,27
11/06/2023,RB515,LTK/DXB,Y,254,0,0,0,0,0,45,0.00,0 %,0.00,ACT,0.00,0,254
11/06/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/06/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,139,0.00,0 %,0.00,ACT,0.00,0,144
11/06/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/06/2023,RB202,CAI/DAM,Y,144,0,0,0,0,0,142,0.00,0 %,0.00,ACT,0.00,0,144
11/06/2023,RB516,DXB/LTK,C,27,0,0,0,0,0,19,0.00,0 %,0.00,ACT,0.00,0,27
11/06/2023,RB516,DXB/LTK,Y,254,0,0,0,0,0,164,0.00,0 %,0.00,ACT,0.00,0,254
11/06/2023,RB531,DAM/BGW,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/06/2023,RB531,DAM/BGW,Y,144,0,0,0,0,0,144,0.00,0 %,0.00,ACT,0.00,0,144
11/06/2023,RB532,BGW/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/06/2023,RB532,BGW/DAM,Y,144,0,0,0,0,0,144,0.00,0 %,0.00,ACT,0.00,0,144
11/07/2023,RB501,LTK/SHJ,C,11,0,0,0,0,0,6,0.00,0 %,0.00,ACT,0.00,0,11
11/07/2023,RB501,LTK/SHJ,Y,144,0,0,0,0,0,6,0.00,0 %,0.00,ACT,0.00,0,144
11/07/2023,RB503,LTK/AUH,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/07/2023,RB503,LTK/AUH,Y,144,0,0,0,0,0,12,0.00,0 %,0.00,ACT,0.00,0,144
11/07/2023,RB502,SHJ/LTK,C,11,0,0,0,0,0,7,0.00,0 %,0.00,ACT,0.00,0,11
11/07/2023,RB502,SHJ/LTK,Y,144,0,0,0,0,0,84,0.00,0 %,0.00,ACT,0.00,0,144
11/07/2023,RB504,AUH/LTK,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/07/2023,RB504,AUH/LTK,Y,144,0,0,0,0,0,78,0.00,0 %,0.00,ACT,0.00,0,144
11/08/2023,RB521,LTK/DOH,C,11,0,0,0,0,0,7,0.00,0 %,0.00,ACT,0.00,0,11
11/08/2023,RB521,LTK/DOH,Y,144,0,0,0,0,0,25,0.00,0 %,0.00,ACT,0.00,0,144
11/08/2023,RB515,LTK/DXB,C,27,0,0,0,0,0,9,0.00,0 %,0.00,ACT,0.00,0,27
11/08/2023,RB515,LTK/DXB,Y,254,0,0,0,0,0,123,0.00,0 %,0.00,ACT,0.00,0,254
11/08/2023,RB522,DOH/LTK,C,11,0,0,0,0,0,6,0.00,0 %,0.00,ACT,0.00,0,11
11/08/2023,RB522,DOH/LTK,Y,144,0,0,0,0,0,58,0.00,0 %,0.00,ACT,0.00,0,144
11/08/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/08/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,142,0.00,0 %,0.00,ACT,0.00,0,144
11/08/2023,RB516,DXB/LTK,C,27,0,0,0,0,0,21,0.00,0 %,0.00,ACT,0.00,0,27
11/08/2023,RB516,DXB/LTK,Y,254,0,0,0,0,0,201,0.00,0 %,0.00,ACT,0.00,0,254
11/08/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/08/2023,RB202,CAI/DAM,Y,144,0,0,0,0,0,144,0.00,0 %,0.00,ACT,0.00,0,144
11/09/2023,RB515,LTK/DXB,C,11,0,0,0,0,0,2,0.00,0 %,0.00,ACT,0.00,0,11
11/09/2023,RB515,LTK/DXB,Y,144,0,0,0,0,0,29,0.00,0 %,0.00,ACT,0.00,0,144
11/09/2023,RB341,LTK/KWI,C,11,0,0,0,0,0,10,0.00,0 %,0.00,ACT,0.00,0,11
11/09/2023,RB341,LTK/KWI,Y,144,0,0,0,0,0,87,0.00,0 %,0.00,ACT,0.00,0,144
11/09/2023,RB342,KWI/LTK,C,11,0,0,0,0,0,7,0.00,0 %,0.00,ACT,0.00,0,11
11/09/2023,RB342,KWI/LTK,Y,144,0,0,0,0,0,86,0.00,0 %,0.00,ACT,0.00,0,144
11/09/2023,RB516,DXB/LTK,C,11,0,0,0,0,0,2,0.00,0 %,0.00,ACT,0.00,0,11
11/09/2023,RB516,DXB/LTK,Y,144,0,0,0,0,0,32,0.00,0 %,0.00,ACT,0.00,0,144
11/09/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/09/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,142,0.00,0 %,0.00,ACT,0.00,0,144
11/09/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/09/2023,RB202,CAI/DAM,Y,144,0,0,0,0,0,144,0.00,0 %,0.00,ACT,0.00,0,144
11/10/2023,RB121,LTK/KAC,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/10/2023,RB121,LTK/KAC,Y,144,0,0,0,0,0,114,0.00,0 %,0.00,ACT,0.00,0,144
11/10/2023,RB122,KAC/LTK,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/10/2023,RB122,KAC/LTK,Y,144,0,0,0,0,0,51,0.00,0 %,0.00,ACT,0.00,0,144
11/10/2023,RB503,LTK/AUH,C,27,0,0,0,0,0,25,0.00,0 %,0.00,ACT,0.00,0,27
11/10/2023,RB503,LTK/AUH,Y,254,0,0,0,0,0,0,0.00,0 %,0.00,ACT,0.00,0,254
11/10/2023,RB504,AUH/LTK,C,27,0,0,0,0,0,24,0.00,0 %,0.00,ACT,0.00,0,27
11/10/2023,RB504,AUH/LTK,Y,254,0,0,0,0,0,125,0.00,0 %,0.00,ACT,0.00,0,254
11/11/2023,RB201,DAM/CAI,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
11/11/2023,RB201,DAM/CAI,Y,144,0,0,0,0,0,142,0.00,0 %,0.00,ACT,0.00,0,144
11/11/2023,RB521,LTK/DOH,C,11,0,0,0,0,0,3,0.00,0 %,0.00,ACT,0.00,0,11
11/11/2023,RB521,LTK/DOH,Y,144,0,0,0,0,0,6,0.00,0 %,0.00,ACT,0.00,0,144
11/11/2023,RB515,LTK/DXB,C,27,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,27
11/11/2023,RB515,LTK/DXB,Y,254,0,0,0,0,0,69,0.00,0 %,0.00,ACT,0.00,0,254
11/11/2023,RB202,CAI/DAM,C,11,0,0,0,0,0,11,0.00,0 %,0.00,ACT,0.00,0,11
