,,COMPANY PAYMENTS,,,,,,,,,,
,,Summary Report,,,,,,,,,,
From Date,01/01/2025,,,,,,,,,Report ID,UC_REPM_02,
To Date,22/09/2025,,,,,,,,,Print Date,24/09/2025,
Entity,Reservation,,,,,,,,,Print Time,15:13:46,ZULU
Agent/GSA Code,Agent/GSA Name,Agent IATA ,Account Code,Currency,Fare Amount,Tax Amount,Surcharge Amount,Modify Amount,Payment Amount,Refund Amount,Net Amount,To Detail
DAM198,aslan usd,,dam0050,USD,"6,915.10","1,714.74","4,845.00",0.00,"16,205.33","2,730.49","13,474.84",Detail
DAM199,jabri,,dam00150,SYP,"160,365,057.00","43,357,411.00","113,764,545.00",0.00,"322,156,665.00","4,669,652.00","317,487,013.00",Detail
DAM199,jabri,,dam00150,USD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Detail
DAM2,ALHIJAZ OFFICE,09631182,09631182,AED,"8,204.00","1,244.00","6,369.00",0.00,"15,817.00",0.00,"15,817.00",Detail
DAM2,ALHIJAZ OFFICE,09631182,09631182,KWD,17.76,7.00,136.99,0.00,161.745,0.00,161.745,Detail
DAM2,ALHIJAZ OFFICE,09631182,09631182,QAR,"8,638.65","1,372.35","4,106.26",0.00,"14,117.26",0.00,"14,117.26",Detail
DAM2,ALHIJAZ OFFICE,09631182,09631182,SAR,"1,700.00",343.00,"2,851.00",0.00,"4,894.00",0.00,"4,894.00",Detail
DAM2,ALHIJAZ OFFICE,09631182,09631182,SYP,"6,358,574,609.00","1,356,686,763.00","3,283,345,776.00",0.00,"10,998,994,102.00",0.00,"10,998,994,102.00",Detail
DAM2,ALHIJAZ OFFICE,09631182,09631182,TRL,"1,100.00",919.00,"4,802.00",0.00,"6,821.00",0.00,"6,821.00",Detail
DAM2,ALHIJAZ OFFICE,09631182,09631182,USD,"201,663.91","40,859.45","116,294.38",0.00,"358,817.74",0.00,"358,817.74",Detail
DAM200,jabri usd,,dam175,USD,"16,240.79","3,987.65","11,748.25",0.00,"32,139.46",162.77,"31,976.69",Detail
DAM201,alshaheen usd,,dam00301,USD,"2,176.32",494.70,"1,260.00",0.00,"3,931.02",0.00,"3,931.02",Detail
DAM202,gilgamish diamond usd,,DAM005,USD,"4,361.86","1,091.25","3,090.00",0.00,"8,543.11",0.00,"8,543.11",Detail
DAM203,ALANWAR,,DAM00200,SYP,"5,637,369.00","1,670,536.00","4,145,937.00",0.00,"13,845,218.00","2,391,376.00","11,453,842.00",Detail
DAM204,ALANWAR usd,,DAM00202,USD,"1,624.90",346.73,975.00,0.00,"2,946.63",0.00,"2,946.63",Detail
