,,RESERVATION BREAKDOWN,,,,,,
,,Summary Report,,,,,,
,,,,,,Report ID :,UC_REPM_001,
From Date,: 01/08/2025,,,,,Print Date :,30/08/2025,
To Date,: 30/08/2025,,,,,Print Time :,11.34.27,Zulu
Travel Agent ,Travel Agent Name,Fare(USD),Taxes(USD),Surcharges(USD),Total(USD),Refund(USD),To Detail,
DXB36,DAMA SKY TOURISM,"4,573.55","1,080.73","4,290.00","9,944.28",0,Detail,
QTR6,DANNOURA,706.96,170.31,420,"1,297.27",0,Detail,
DXB68,DAR AL SHAM TRAVEL AND TOURISM LLC,"2,082.20","1,706.27","5,880.00","9,668.47",0,Detail,
DXB46,DAR AL ZAIN TRAVEL AND TOURISM,40,74.14,240,354.14,0,Detail,
DXB57,DARIN TRAVEL AND TOURS LLC,"3,171.28","1,708.76","6,510.00","11,390.04",0,Detail,
AUH21,DESTINATIONS OF THE WOELD TRAVEL&TOURISM LLC,554.9,377.7,"1,920.00","2,852.60",0,Detail,
SHJ9,DURAH,"1,093.80",632.27,"2,601.75","4,327.82",0,Detail,
DAM97,DURRAT ALHIJAZ,182.63,32.78,75,290.41,0,Detail,
DXB32,Dubai link tours,20,37.07,120,177.07,0,Detail,
KWI28,EJAZA CLUB,"37,532.49","8,588.25","31,886.50","78,007.24",772.75,Detail,
DXB20,ELAF,"14,077.17","7,966.52","32,330.25","54,373.94",885.35,Detail,
KWI15,FEMEX,"15,434.33","3,105.40","13,174.44","31,714.17",0,Detail,
AUH32,FIVE G travel,74,25.06,180,279.06,0,Detail,
DXB13,FLYIN,"8,054.88","3,898.61","14,503.50","26,456.99",0,Detail,
DAM177,FORSAN ALSHAM,0,0,0,0,0,Detail,
DAM68,GILGAMISH,"2,993.93",797.63,"2,310.00","6,101.56",0,Detail,
AUH11,GOLDEN LINK,"1,023.86",336.31,"1,320.00","2,680.17",0,Detail,
DAM156,GOLDEN SKY,"19,734.53","4,451.41","11,730.00","35,915.94",0,Detail,
DXB26,GRANADA GATE,"3,687.30","2,229.64","8,340.00","14,256.94",381.43,Detail,
