,,,,INVOICE SUMMARY ,,,,,,,,,,,
,,,,Summary Report,,,,,,,,,,,
Period  : 1,,,,,,,,,,,,,,,
,,,,,,,,,,,Report ID :,UC_REPM_00,,,
Month  : 08,,,,,,,,,,,,,,,
,,,,,,,,,,,Print Date :,28/08/2025,,,
Year     : 2025,,,,,,,,,,,,,,,
,,,,,,,,,,,Print Time :,10.59.26,,Zulu,
Entity   : Reservation,,,,,,,,,,,,,,,
Agent Code,Agent Name,Station Code,Station Name,Country,Territory,Invoice Number,"Fare
","Tax

","Modify

",Surcharge,Invoice Total,,,Emails Sent,Detail
DXB71,SURIANA TOURS & TRAVEL LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000145,"2,266.39","1,497.67",27.25,"5,760.00","9,551.31",,,0,Detail
IST11,art of travel,IST,tr-istanbul,Turkey,IST,250801000126,"22,823.30","4,533.78",360.00,"13,425.00","41,142.08",,,0,Detail
DAM114,BLUE SUN,DAM,SY-DAMASCUS,Syria,DMS,250801000182,-184.00,-31.51,0.00,-120.00,-335.51,,,0,Detail
DXB44,AL ZAMEL TRAVEL & TOURISM,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000137,"1,381.81",454.68,13.65,"1,980.00","3,830.14",,,0,Detail
IST5,hamdan group,IST,tr-istanbul,Turkey,IST,250801000124,"7,939.45","1,624.61",660.00,"4,800.00","15,024.06",,,0,Detail
IST15,Tuba,IST,tr-istanbul,Turkey,IST,250801000040,"4,480.25",969.85,0.00,"2,850.00","8,300.10",,,0,Detail
IST16,top torch,IST,tr-istanbul,Turkey,IST,250801000176,"1,048.75",232.20,30.00,675.00,"1,985.95",,,0,Detail
DXB11,PACK & GO TRAVEL TOURISM LLC,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000159,"2,938.41",978.39,0.00,"3,885.00","7,801.80",,,0,Detail
DAM102,YAS,DAM,SY-DAMASCUS,Syria,DMS,250801000089,"4,152.33","1,013.37",0.00,"3,300.00","8,465.70",,,0,Detail
KWI35,Al Jazeera international travel & tourism,KWI,KW-KUWAIT,Kuwait,KWT,250801000147,"10,753.37","2,213.07",50.00,"8,823.75","21,840.19",,,0,Detail
DXB32,Dubai link tours,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000011,20.00,37.07,0.00,120.00,177.07,,,0,Detail
DXB16,AYAVA,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000163,260.46,62.13,0.00,240.00,562.59,,,0,Detail
KWI12,ALATHEER,KWI,KW-KUWAIT,Kuwait,KWT,250801000084,197.40,39.00,0.00,156.50,392.90,,,0,Detail
SHJ10,Sky Dreams LLC,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000171,577.88,346.68,27.25,"1,200.00","2,151.81",,,0,Detail
KWI29,ALSAYED KWI,KWI,KW-KUWAIT,Kuwait,KWT,250801000138,"14,444.09","3,073.18",319.76,"11,999.00","29,836.03",,,0,Detail
SHJ8,PETRA,SHJ,AE-SHARJAH,United Arab Emirates,SHJ,250801000094,"1,070.44",211.45,0.00,900.00,"2,181.89",,,0,Detail
AUH5,MAKAREM,AUH,AE-ABUDHABI,United Arab Emirates,AUH,250801000132,"2,608.46",717.40,0.00,"3,000.00","6,325.86",,,0,Detail
DAM110,BABYLON,DAM,SY-DAMASCUS,Syria,DMS,250801000181,-193.52,-35.83,0.00,-75.00,-304.35,,,0,Detail
IST14,Nevada Turizm,IST,tr-istanbul,Turkey,IST,250801000127,"7,299.30","1,571.32",60.00,"4,575.00","13,505.62",,,0,Detail
DXB20,ELAF,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000164,"10,131.93","5,765.06",340.77,"23,314.89","39,552.65",,,0,Detail
DXB15,NARJIS,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000161,994.04,113.73,0.00,450.00,"1,557.77",,,0,Detail
DAM118,ADVANCED,DAM,SY-DAMASCUS,Syria,DMS,250801000052,860.48,135.64,0.00,300.00,"1,296.12",,,0,Detail
DXB39,TAJ ALSHAM FOR TOURISM LLC DXB,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000170,"1,110.00",274.18,30.00,"1,020.00","2,434.18",,,0,Detail
IST4,ila tourism,IST,tr-istanbul,Turkey,IST,250801000123,190.90,49.49,0.00,210.00,450.39,,,0,Detail
QHS3,ALMOHTARIF,QHS,SY-HOMS,Syria,DMS,250801000160,"2,250.88",455.29,0.00,"1,485.00","4,191.17",,,0,Detail
IST1,road makers travel tourism,IST,tr-istanbul,Turkey,IST,250801000153,"4,918.50","1,086.61",150.00,"3,150.00","9,305.11",,,0,Detail
KWI10,ALKHALIJIA,KWI,KW-KUWAIT,Kuwait,KWT,250801000112,"5,691.59","1,220.66",32.47,"5,067.50","12,012.22",,,0,Detail
QHM6,ALASAL,QHM,SY-HAMA,Syria,DMS,250801000051,"4,867.21","1,316.18",0.00,"3,990.00","10,173.39",,,0,Detail
DAM48,MOUNTAIN ROSE,DAM,SY-DAMASCUS,Syria,DMS,250801000003,719.26,221.10,0.00,540.00,"1,480.36",,,0,Detail
DAM50,URJUWAN,DAM,SY-DAMASCUS,Syria,DMS,250801000086,48.00,0.00,0.00,0.00,48.00,,,0,Detail
QAJ4,ALTAYAR,QAJ,AE-AJMAN,United Arab Emirates,QAJ,250801000135,230.30,259.49,0.00,840.00,"1,329.79",,,0,Detail
DAM63,ALSHAHEEN,DAM,SY-DAMASCUS,Syria,DMS,250801000156,"1,762.42",408.07,0.00,"1,050.00","3,220.49",,,0,Detail
DAM187,orfali usd,DAM,SY-DAMASCUS,Syria,DMS,250801000104,"3,240.44","1,025.05",0.00,"2,805.00","7,070.49",,,0,Detail
DXB26,GRANADA GATE,DXB,AE-DUBAI,United Arab Emirates,DXB,250801000136,"2,002.20","1,277.21",367.92,"4,740.00","8,387.33",,,0,Detail
